Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
полетим,на самолете,PREP,полететь,yes,futr,perf,sing,"Деньги у меня есть, полетим на самолете. ",7,Лев Дворецкий,Шакалы,2000
улетает,на самолете,PREP,улетать,yes,pres,impf,sing,"Часть народа улетает на самолете, мы с Пашганом, верные традициям ― едем на поезде.   ",14,Сергей Яковлев,Очередной отчет об очередной поездке в очередные горы,2000
летел,на самолете,PREP,лететь,no,past,impf,sing,"Те, кто летел на самолете, заплатили еще больше.   ",8,Сергей Яковлев,Очередной отчет об очередной поездке в очередные горы,2000
летит,на самолете,PREP,лететь,no,pres,impf,sing,Мужчина первый раз летит на самолете и немного нервничает. ,9,,Коллекция анекдотов: лётчики,1970
вернулись,на самолете,PREP,вернуться,no,past,perf,sing,"На следующий день, после торжественного прощального обеда в их честь, где все снова читали и пели, Андрей, маньеристы и « Бахыт- Компот» вернулись на самолете в Москву. ",27,Алексей Грачев,Ярый против видеопиратов,1999
повезли,на самолете,PREP,повезти,yes,past,perf,sing,"И его руки с пальцами пианиста отрубили от его мертвого тела и повезли на самолете в Ла-Пас для дактилоскопического опознания, а тело, разрубив на куски, раскидали по сельве, чтобы у него не было могилы, на которую приходили бы люди. ",39,Евгений Евтушенко,«Волчий паспорт»,1999
добирались,на самолете,PREP,добираться,yes,past,impf,sing,"Я приехал в США вместе со Святославом Петровичем Мирзой, 25 часов добирались на самолете, летели с семью посадками. ",18,Шамиль Тарпищев,Самый долгий матч,1999
полетел,на самолете,PREP,полететь,yes,past,perf,sing,И я с сыном полетел на самолете Кафельникова. ,8,Шамиль Тарпищев,Самый долгий матч,1999
летал,на самолете,PREP,летать,no,past,impf,sing,Он только что летал на самолете и делал мертвую петлю ― тогда были такие сеансы над Москвой. ,17,Эмма Герштейн,Вблизи поэта,1985
летают,на самолетах,PREP,летать,no,pres,impf,plur,"Было много сказок о ковре- самолете, а теперь люди и вправду летают на самолетах.   ",14,Виталий Губарев,Путешествие на Утреннюю Звезду,1998
ЛЕТИШЬ,НА САМОЛЕТЕ,PREP,лететь,no,pres,impf,sing,"ВОТ ЛЕТИШЬ НА САМОЛЕТЕ, ― ПОДНИМАЕТ БОКАЛ ЧИНОВНИК. ",8,Родион Нахапетов,Влюбленный,1998
летали,на самолетах,PREP,летать,no,past,impf,plur,"Десять лет назад было не стыдно, все летали на самолетах такого класса, а сейчас… ",14,Феликс Чуев,Ильюшин,1998
летал,на самолетах,PREP,летать,no,past,impf,plur,"Садился с ними в бронетранс- портеры, летал на самолетах и вертолетах. ",11,Александр Розенбаум,Бультерьер,1987
прилетел,на самолете,PREP,прилететь,yes,past,perf,sing,"Не из необходимости ли ступать по исхоженным им тротуарам ( что вздор, ибо он почти всегда брал такси, живя в Лондоне) мне было задним числом предопределено прибиться к меловым скалам Дувра ( что тоже вздор, ибо я сюда прилетел на самолете в Хитроу)?  ",43,Александр Пятигорский,Вспомнишь странного человека,1997
прилетел,на самолете,PREP,прилететь,yes,past,perf,sing,Стиви уже из Детройта вместе с командой прилетел на самолете в Монреаль. ,12,Вячеслав Фетисов,Овертайм,1997
едут,на самолете,PREP,ехать,no,pres,impf,sing,"Потом, типа, определяют победителей, и они, значит, едут на самолете в Питер. ",12,Дуня Смирнова,Массовая ирония судьбы,1997
летает,на самолете,PREP,летать,no,pres,impf,sing,"Но согласитесь, довольно странно: подручный троцкистов летает на самолете вашего мужа в Москву, поддерживает связь с заграничными центрами, а никто, в том числе и ваш муж, ничего не замечает. ",29,Евгений Весник,"Дарю, что помню",1997
летит,на самолете,PREP,лететь,no,pres,impf,sing,"Завистливые глаза провожающих и тревожные у тех, кто первый раз летит на самолете ( а таких оказалось много), растерянные у администраторов, которые остались в Москве… ",25,Евгений Весник,"Дарю, что помню",1997
прилетела,на самолете,PREP,прилететь,yes,past,perf,sing,"Помню, я прилетела на самолете в Ростов, спускаюсь по трапу, он меня берет на руки и несет к машине. ",19,Лидия Смирнова,Моя любовь,1997
летала,на самолете,PREP,летать,no,past,impf,sing,Я летала на самолете!»  ,4,Марина Вишневецкая,Вышел месяц из тумана,1997
летала,на самолете,PREP,летать,no,past,impf,sing,"А в селе уже стали и забывать, как Тынэна летала на самолете. ",12,Юрий Рытхэу,Самые красивые корабли,1997
полетит,на самолете,PREP,полететь,yes,futr,perf,sing,"Оренбург от Карпат ― совсем не ближний свет, если человек, взявший телеграмму, полетит на самолете из Львова, то не раньше завтрашнего дня. ",22,Александра Маринина,Иллюзия греха,1996
летал,на самолете,PREP,летать,no,past,impf,sing,"Когда я летал на самолете, то все время смотрел в иллюминатор, но оттуда видно плохо, не то что здесь.   ",19,Валентин Постников,Карандаш и Самоделкин в стране людоедов,1996
отправляют,на самолетах,PREP,отправлять,yes,pres,impf,plur,Два автомобиля отправляют на самолетах и в заграничные поездки.   ,9,Вячеслав Костиков,Роман с президентом,1996
полетела,на самолете,PREP,полететь,yes,past,perf,sing,"Метелица» же полетела на самолете с продуктами и лыжами для Конюхова к месту его стоянки, располагавшейся в 350 км от полюса. ",21,Дмитрий Сошкин,Антарктические экспедиции,1996
Летал,на самолете,PREP,летать,no,past,impf,sing,Летал на самолете типа Фарман- IV ( в 1910 г. поднялся в воздух с председателем Совета Министров П. А. Столыпиным на борту). ,22,Сергей Бабаян,Ротмистр Неженцев,1995
летала,на самолете,PREP,летать,no,past,impf,sing,"Она так давно не летала на самолете, что при мысли об этом делалось нехорошо. ",14,Евгений Шкловский,Другая,1990
летает,на самолете,PREP,летать,no,pres,impf,sing,"И если в старину подонок бегал на своих двоих, то теперь он летает на самолете. ",15,Николай Сладков,Зарубки на памяти,1970
пролетаешь,на самолете,PREP,пролетать,yes,pres,impf,sing,"Когда пролетаешь на самолете Аэрофлота через эту воображаемую линию, то стюардессы вручают тебе грамоту и значок, как именитому первопроходцу, а здесь, кроме женщин- торговок, нас никто не встречал. ",28,В. Лебедев,"Природа и человек. Возвращение в саванну, или Обыкновенное сафари в Самбуру",1995
вылетели,на самолете,PREP,вылететь,yes,past,perf,sing,"Жирмунского и Гуковского вскоре выпустили, и они вылетели на самолете. ",10,Д. С. Лихачев,Воспоминания,1995
привезли,на самолете,PREP,привезти,yes,past,perf,sing,Его привезли на самолете прямо с переднего края с острым животом ― это означает адские боли. ,16,И. М. Дьяконов,Книга воспоминаний. Часть вторая. Глава четвертая (1942-1944),1995
летает,на самолетах,PREP,летать,no,pres,impf,plur,"Шило, она, оказывается, летает на самолетах!  ",6,А. А. Образцов,Драки шахтеров с художниками из-за стюардесс,1980
перелетел,на самолете,PREP,перелететь,yes,past,perf,sing,"Рудольф Гесс, второе лицо в Германии, заместитель Гитлера по партии, перелетел на самолете в Англию ― и, наверное, не войну ей объявить, а совсем наоборот, и газеты заикнулись было об « англо- германской сделке», но тут же примолкли, когда англичане миссию Гесса отвергли, а самого его посадили в тюрьму. ",49,Г. Н. Владимов,Генерал и его армия,1994
летали,на самолете,PREP,летать,no,past,impf,sing,"Мы летали на самолете над будущим водохранилищем, и нам рисовалась картина современных социалистических городов на берегах рукотворного моря…   ",18,Сергей Залыгин,Экологический роман,1993
улетел,на самолете,PREP,улететь,yes,past,perf,sing,"Он обрадовался мне, сообщил, что дядя Вася как-то изловчился добыть документ и улетел на самолете в Красноряск, учить уму- разуму разметчиков и сортировщиков древесины.   ",24,Виктор Астафьев,Последний поклон,1968
летел,на самолёте,PREP,лететь,no,past,impf,sing,"Я летел на самолёте и видел в люминаторе, как подо мной просирается земля… ",13,,Коллекция анекдотов: Брежнев,1964
летел,на самолете,PREP,лететь,no,past,impf,sing,Я впервые в жизни летел на самолете.   ,7,Анатолий Жигулин,Черные камни,1988
летит,на самолёте,PREP,лететь,no,pres,impf,sing,"Он едет на поезде, потом плывёт на пароходе, летит на самолёте и сам обо всём, что видел, рассказывает.   ",18,Геннадий Черненко,Две жизни Бориса Житкова,1988
долетел,на самолете,PREP,долететь,yes,past,perf,sing,Я не стал дожидаться открытия навигации на Енисее ― до Красноярска долетел на самолете. ,14,О. В. Волков,Из воспоминаний старого тенишевца,1988
летим,на самолете,PREP,лететь,no,pres,impf,sing,"Или же все выглядит так, будто мы летим на самолете, да еще при большой облачности, когда землю видишь лишь при взлете да при посадке. ",24,Анатолий Эфрос,Профессия: режиссер,1975
летали,на самолетах,PREP,летать,no,past,impf,plur,"Если бы древние летали на самолетах или ездили в автомобилях, археологи что-нибудь такое да откопали бы. ",16,Еремей Парнов,Третий глаз Шивы,1985
летит,на самолете,PREP,лететь,no,pres,impf,sing,"Помню, в юности на нашем заводе были такие доски с картинками, какая смена летит на самолете, какая ― верхом, а кто ― на черепахе.   ",24,Н. М. Амосов,Дневник,1985
прилетел,на самолете,PREP,прилететь,yes,past,perf,sing,Однажды к ней явился отец Карена ( специально прилетел на самолете) и умолял спасти сына ― вернуться к нему. ,19,Сергей Юрский,На дачах,1974
летал,на самолете,PREP,летать,no,past,impf,sing,Я первый раз в жизни летал на самолете!  ,8,И. С. Шкловский,Новеллы и популярные статьи,1982
улетела,на самолете,PREP,улететь,yes,past,perf,sing,"Оказывается, что Оперативная группа штаба 1- го АК уже улетела на самолете Ан- 26, нас ждали, искали, но не нашли. ",20,В. И. Аблазов,Дневник,1981
летают,на самолетах,PREP,летать,no,pres,impf,plur,"Мы с Мир Гаусуддином обсуждали этот вопрос где-то в горах на боевых действиях, и здесь он снова повторил свой шуточный и нешуточный аргумент в несколько иной интерпретации: « У вас дети только родились, сразу летают на самолетах. ",37,В. И. Аблазов,Дневник,1981
вывезли,на самолете,PREP,вывезти,yes,past,perf,sing,Знаменитого маршала благополучно вывезли на самолете. ,6,Анатолий Гладилин,Большой беговой день,1976
Летали,на самолете,PREP,летать,no,past,impf,sing,"с положением дел, наладить взаимодействие. Летали на самолете Ан- 30 и туда, и обратно, за пределы аэродрома и не выходили, некогда. ",21,В. И. Аблазов,Дневник,1980
улетела,на самолете,PREP,улететь,yes,past,perf,sing,Генерал Шапошников А. М. изменил планы и в Мазари-Шариф комиссия улетела на самолете Ан- 30 без нас еще в 10.00. ,20,В. И. Аблазов,Дневник,1980
летал,на самолетах,PREP,летать,no,past,impf,plur,"Он летал на самолетах Ил- 14, Ил- 18, побывал во многих странах мира. ",13,В. И. Аблазов,Дневник,1980
Летели,на самолете,PREP,лететь,no,past,impf,sing,"ПВО генерал-лейтенант Сафронов Петр Павлович. Летели на самолете Ан- 26, вел машину советник командира транспортного авиаполка Валера Петров. ",18,В. И. Аблазов,Дневник,1980
летал,на самолетах,PREP,летать,no,past,impf,plur,"Полковник Гусев никогда не летал на самолетах и не ездил в такси: самолеты разбивались, таксисты лихачествовали. ",16,Ю. В. Трифонов,Опрокинутый дом,1980
перевезли,на самолетах,PREP,перевезти,yes,past,perf,plur,"Казалось, свиней этих перевезли на самолетах ― не то оттуда сюда, не то наоборот.   ",14,Фазиль Искандер,Морской скорпион,1977
летал,на самолете,PREP,летать,no,past,impf,sing,"Тем, кто летал на самолете, поначалу ( для первого десятка километров подъема) пейзаж знаком. ",14,Александр Морозов,«Астрономия наоборот»,1976
летишь,на самолете,PREP,лететь,no,pres,impf,sing,"Если представить, что летишь на самолете, то можно подумать, будто под тобой горы, заросшие джунглями.   ",15,Владислав Крапивин,Болтик,1976
летел,на самолете,PREP,лететь,no,past,impf,sing,Я в первый раз летел на самолете. ,7,Андрей Битов,Дом поэта,1975
лечу,на самолете,PREP,лететь,no,pres,impf,sing,Чему тут верить ― что я лечу на самолете?  ,9,Андрей Битов,Дом поэта,1975
летали,на самолетах,PREP,летать,no,past,impf,plur,"Летчики этого полка летали на самолетах, построенных на Воронежском авиазаводе. ",10,Семенов М,В честь XXV съезда партии,1975
летаешь,на самолетах,PREP,летать,no,pres,impf,plur,"Ты, Сережа, сейчас героически работаешь на севере, летаешь на самолетах и открываешь месторождения. ",13,Олег Куваев,Территория,1970
возили,на самолете,PREP,возить,no,past,impf,sing,"Его, старшину Пескова, ни разу не возили на самолете. ",9,Владимир Войнович,Жизнь и необычайные приключения солдата Ивана Чонкина,1969
прибывает,на самолете,PREP,прибывать,yes,pres,impf,sing,"И вот незадолго до войны этот самый Голицын под видом простого красноармейца прибывает на самолете в деревню Красное в этом примерно месте, ― Берия ткнул пальцем в глобус, ― поселяется у одной местной женщины и начинает плести свою паучью сеть. ",40,Владимир Войнович,Жизнь и необычайные приключения солдата Ивана Чонкина,1969
пролетел,на самолете,PREP,пролететь,yes,past,perf,sing,"Не проплыл их на пароходе, не промчался на « Метеоре», не пролетел на самолете ― посидел на берегу у самого порога, и он перестал быть для меня страшным, он еще больше привораживал, поднимал буйством какую-то силу, дремлющую в душе.   ",39,Виктор Астафьев,Царь-рыба,1974
вывезли,на самолете,PREP,вывезти,yes,past,perf,sing,Его вывезли на самолете из партизанского района ― с ним одна записка была. ,13,Федор Кнорре,Каменный венок,1973
путешествуют,на самолетах,PREP,путешествовать,no,pres,impf,plur,"Мотаются с блядями по Европе, к перу прикасаются только для того, чтобы подписать чужие рукописи, на работу ( руководящую) не являются, переложив все свои обязанности на крепкие плечи наглых помощников и консультантов, устраивают какие-то сокрушительные пикники, называя их выездными пленумами Секретариата СП, где вино льется рекой и режут на шашлыки последних баранов; путешествуют на самолетах, машинах, пароходах, поездах, аэросанях, вертолетах, лошадях, ослах, мулах, верблюдах ",64,Ю. М. Нагибин,Дневник,1973
летел,на самолете,PREP,лететь,no,past,impf,sing,"Черчилля не зря, когда он летел на самолете из Тегерана в Москву, мучила мысль: « Что я им скажу?»   (1972)]",20,Роман Кармен,Но пасаран! [Ч. 1],1972
летал,на самолете,PREP,летать,no,past,impf,sing,"Он благополучно летал на самолете с летчиком, которому было дано задание убить председателя Совета Министров. ",15,В. В. Шульгин,Последний очевидец,1971
летал,на самолете,PREP,летать,no,past,impf,sing,"Сталин прочел, что Микоян летал на самолете и летчик при этом выполнял фигуры высшего пилотажа, и предложил объявить Микояну выговор за ненужный риск. ",23,Никита Хрущев,Воспоминания,1971
перелетал,на самолете,PREP,перелетать,yes,past,impf,sing,"Казахские просторы огромны, из одного района в другой я перелетал на самолете. ",12,Никита Хрущев,Воспоминания,1971
возят,на самолетах,PREP,возить,no,pres,impf,plur,"А там наверняка живет какой-нибудь чудак, который мечтает забраться в глухомань, чтобы попадать туда только по воздуху, куда кирпичи для печек возят на самолетах…   ",24,O. М. Куваев,Дом для бродяг,1970
доставили,на самолете,PREP,доставить,yes,past,perf,sing,"Откуда-то немцы срочно доставили на самолете длинные шланги, протянули их от самого. ",12,Анатолий Кузнецов,Бабий яр,1965
летел,на самолете,PREP,лететь,no,past,impf,sing,"А теперь, сидя за чашкой кофе, потихоньку покуривая, посматривая за окно, в этой теплоте, тишине и чистоте, в этом « поплавке» на каком-то канале он был счастлив и знал это, и чувствовал еще, что и тогда, когда два дня назад ночевал он в тундре, то и тогда был счастлив, и когда летел на самолете и выпивал с Кирычем, и когда спал в вагоне экспресса.   ",64,Юрий Казаков,Арбат был завален обломками...,1960
прилечу,на самолете,PREP,прилететь,yes,futr,perf,sing,"Я прилечу на самолете, ты будешь встречать меня, и мы с тобой будем гулять и потрясающе развлекаться.   ",17,"Аркадий Вайнер, Георгий Вайнер","Я, следователь...",1968
услали,на самолете,PREP,услать,yes,past,perf,sing,"От времени до времени я делил ( не очень, впрочем, успешно) с двумя молодыми ботаниками и старым плотником пухлявые прелести одной из наших специалисток по питанию, докторши Аниты Джонсон ― которую вскоре услали на самолете восвояси, о чем вспоминаю с удовольствием.  (1967)]",42,В. В. Набоков,Лолита [автоперевод с английского],1967
отправятся,на самолете,PREP,отправиться,yes,futr,perf,sing,"Попросила меня не говорить глупостей, они отправятся на самолете на Юпитер или Юкон и там купят машину; я сказал, что в таком случае я покупаю у нее старый Икар за пятьсот долларов.    (1967)]",33,В. В. Набоков,Лолита [автоперевод с английского],1967
летит,на самолете,PREP,лететь,no,pres,impf,sing,"Ведь девушка летит на самолете, а он рассказывает ее биографию, биографию ее отца, об отношениях старика со своими соседями, с другом Ани Тэгрынэ, мотористом охотничьего вельбота…   ",26,Юрий Рытхэу,Время таяния снегов,1967
летит,на самолете,PREP,лететь,no,pres,impf,sing,"Девочка, идем со мной ужинать, ― говорит она Тане, которая все еще летит на самолете во Владивосток.   ",17,А. И. Пантелеев,Наша Маша,1966
летал,на самолете,PREP,летать,no,past,impf,sing,"Каждому, кто летал на самолете, достаточно вспомнить бесконечные ряды заклепок на крыльях, на фюзеляже. ",14,И. Фридляндер,Алюминий,1965
вылетела,на самолете,PREP,вылететь,yes,past,perf,sing,"В конце сентября, уже во время блокады, я вылетела на самолете в Москву.   ",13,А. А. Ахматова,Автобиографическая проза,1957
летел,на самолете,PREP,лететь,no,past,impf,sing,"Он летел на самолете, потом вертолет перенес его на этот клочок земли в океане; он смотрел с неба на беспредельные, будто затвердевшие воды, дымящиеся облачками хребты, горы, впервые увидел конусы вулканов ― и молчал чуть напуганный, удивленный. ",37,Анатолий Ткаченко,Кони,1964
перевезли,на самолетах,PREP,перевезти,yes,past,perf,plur,Её перевезли на самолетах отдельными блоками. ,6,Василий Песков,Белые сны,1964
летает,на самолете,PREP,летать,no,pres,impf,sing,"Он снова сражается, летает на самолете. ",6,Рид Грачев,Присутствие духа. I,1964
летали,на самолете,PREP,летать,no,past,impf,sing,"Мне даже приснилось, как мы с тобой летали на самолете, а потом разбились на кусочки. ",15,Юрий Дружков (Постников),Приключения Карандаша и Самоделкина,1964
приедет,на самолёте,PREP,приехать,yes,futr,perf,sing,"Через несколько дней совсем другая комиссия приедет, на самолёте прилетит ― и назад нам наше здание отдадут, ещё и прибавят!    ",20,А. И. Солженицын,Для пользы дела,1963
летал,на самолетах,PREP,летать,no,past,impf,plur,"Егор много ездил на своем веку, летал на самолетах.   ",9,Василий Шукшин,Сельские жители,1963
летал,на самолетах,PREP,летать,no,past,impf,plur,"Если подумать, так это просто какой-то ужас: я еще ни разу не летал на самолетах. ",15,Виктор Драгунский,Денискины рассказы/ Запах неба и махорочки,1963
эвакуировали,на самолете,PREP,эвакуировать,no,past,perf,sing,"А потом Настю эвакуировали на самолете, и я осталась одна ― одна женщина. ",13,Юрий Герман,Дорогой мой человек,1961
летал,на самолете,PREP,летать,no,past,impf,sing,"И тут же наперебой стали просить, чтобы я рассказал, как летал на самолете. ",13,Ю. М. Нагибин,Дневник,1960
привезли,на самолетах,PREP,привезти,yes,past,perf,plur,"Почему командовал и почему вызвали именно его и на самолете, она не задумывалась: как раз вчера у них в школе рассказывали, что недавно в Москву привезли на самолетах из немецкого тыла несколько командиров отрядов и прямо с аэродрома, в чем были, повезли на доклад.   ",44,Константин Симонов,Живые и мертвые,1955
пролетел,на самолете,PREP,пролететь,yes,past,perf,sing,"Крыши дыбились антеннами, а небо перечеркнуто было длинным, жемчужно- светящимся, неправдоподобно ровным и узким, как лента узким облаком, его сотворил человек, который в этой утренней высоте пролетел на самолете.   ",29,В. Ф. Панова,Сентиментальный роман,1958
летали,на самолетах,PREP,летать,no,past,impf,plur,"Вы уезжали куда-нибудь в дальние страны, летали на самолетах, сражались и, возвратившись, с изумлением видели, что он все так же шагает по своему кабинету, продолжает тот же монолог, начатый около года назад. ",32,К. И. Чуковский,Леонид Андреев,1919
слетали,на самолете,PREP,слетать,yes,past,impf,sing,"Пошли, взяли довольно много вещей, продали их и слетали на самолете в Ленинград. ",13,В. Г. Викторович,Речь в защиту Ани Александровой,1956
прибыл,на самолете,PREP,прибыть,yes,past,perf,sing,"Зимой, в разгар полярной ночи, когда на « СП- 4» зимовала вторая смена научных сотрудников во главе с П. А. Гордиенко, туда вновь прибыл на самолете старожил высоких широт Александр Иванович Шутяев. ",32,коллективный,Дневник «Огонька»,1956
прибыли,на самолете,PREP,прибыть,yes,past,perf,sing,В Москву на этот вечер по вызову Родионова прибыли на самолете директор и главный инженер Волжского завода. ,17,А. А. Бек,Талант (Жизнь Бережкова) / Части 4-6,1940
вылетели,на самолетах,PREP,вылететь,yes,past,perf,plur,"Многие ученые и специалисты вылетели на самолетах в Ашхабад, чтобы обсудить вопросы сельскохозяйственного освоения пустынь на объединенной сессии молодой Академии Наук Туркменской ССР, Академии Наук Узбекской ССР и постоянной бригады ученых Академии Наук СССР. ",34,Б. А. Федорович,Изучение пустынь,1953
прибудут,на самолётах,PREP,прибыть,yes,futr,perf,plur,"Приготовьте транспорт от выгона к мосту, все прибудут на самолётах.   ",10,И. Л. Солоневич,Две силы,1953
вылетели,на самолете,PREP,вылететь,yes,past,perf,sing,Мать и сестра Димы вылетели на самолете в Иркутск. ,9,Юрий Елагин,Укрощение искусств,1952
поднимается,на самолётах,PREP,подниматься,yes,pres,impf,plur,"Человек, вооружённый этим аппаратом, поднимается на самолётах и стратостатах, он сопровождает советских учёных в их экспедициях в Арктику, в тайгу, в малоисследованные горы и пустыни Средней Азии.   ",27,"А. Федоров, Г. Б. Григорьев",Как кино служит человеку,1948
Лечу,на самолете,PREP,лететь,no,pres,impf,sing,ближайшие дни отправляюсь на фронт. Лечу на самолете.   ,8,Д. Н. Медведев,Сильные духом (Это было под Ровно),1948
летела,на самолете,PREP,лететь,no,past,impf,sing,"И тут же рассказал о том, как они пили в Саратове, на какой-то базе, красный ликер, закусывая его копчеными языками, а жена его, как летела на самолете и как пришла в Куйбышеве на симфонию Шостаковича и ее пропустили от изумления ( театр был полон): « Это вы,    ",47,Вс. В. Иванов,Дневники,1940
привезли,на самолете,PREP,привезти,yes,past,perf,sing,"Бажан ― о партизанах, о борьбе на Украине, привезли на самолете 18 детей, которых венгры побросали в колодец. ",18,Вс. В. Иванов,Дневники,1940
прилетел,на самолете,PREP,прилететь,yes,past,perf,sing,Я получил телеграмму от Джозефа и прилетел на самолете. ,9,Е. Петров,Остров мира. Комедия в 4 актах,1947
Прилетел,на самолете,PREP,прилететь,yes,past,perf,sing,Приехал за семьей. Прилетел на самолете. ,6,К. И. Чуковский,Дневник,1947
летает,на самолетах,PREP,летать,no,pres,impf,plur,"Летчик- испытатель летает на самолетах, зачастую имеющих недостатки. ",8,С. Вишенков,Испытатели,1947
вывезли,на самолете,PREP,вывезти,yes,past,perf,sing,"Живут в ней ― мать Мария Ивановна Корнейчук, 43 года, две дочери ― Ольга ― 20 лет и Валя ― 14 лет, все трое ― партизаны, сначала были в Смоленской области ( мать ― поваром, а дочери ― не всяких делах), награждены партизанскими медалями, пробыли в лесу 14 месяцев, затем их вывезли на самолете в тыл, пожили они там и потом приехали сюда. ",63,Л. К. Бронтман,Дневники и письма,1943
вернулся,на самолете,PREP,вернуться,no,past,perf,sing,Послали на Карельский ― через день вернулся на самолете со снимками. ,11,Л. К. Бронтман,Дневники и письма,1943
вылетели,на самолете,PREP,вылететь,yes,past,perf,sing,Утром 15 октября архиепископ Фотий с Л. Н. Парийским вылетели на самолете из Вены в Прагу. ,16,Б. Александров,"Поездка преосвященного Фотия, Архиепископа Орловского и Брянского, в Австрию и Чехословакию",1945
вылетела,на самолете,PREP,вылететь,yes,past,perf,sing,"13 декабря делегация вылетела на самолете с центрального аэродрома Москвы в Киев, а оттуда после двухдневной там остановки она проследовала к себе в г. ",24,неизвестный,Делегация духовенства Мукачевско-Пряшевской епархии,1945
пролетел,на самолете,PREP,пролететь,yes,past,perf,sing,"Я мысленно пролетел на самолете за Скоттом, за Шеклтоном, за Робертом Пири. ",12,Вениамин Каверин,Два капитана,1938
бежали,на самолете,PREP,бежать,no,past,perf,sing,Gillouin et Benoist- Méchin бежали на самолете из Франции в нейтральную страну; они опасались ареста со стороны Лаваля. ,18,Г. С. Эфрон,Дневники. Т. 2,1941
привезли,на самолетах,PREP,привезти,yes,past,perf,plur,"И были среди них такие, которых только три дня назад привезли на самолетах из Германии. ",15,Е. П. Петров,Фронтовой дневник,1941
вылетел,на самолете,PREP,вылететь,yes,past,perf,sing,Байдуков вылетел на самолете искать.   ,5,Л. К. Бронтман,Дневники и письма,1932
вылетел,на самолете,PREP,вылететь,yes,past,perf,sing,Позавчера на Белорусский фронт вылетел на самолете Костя Тараданкин от « Известий» и Мих. ,14,Л. К. Бронтман,Дневники и письма,1932
прилетели,на самолете,PREP,прилететь,yes,past,perf,sing,"Затем прилетели на самолете из Куйбышева Гольденберг и Заславский, и, наконец, после Нового года прибыли основные работники из Куйбышева.   ",19,Л. К. Бронтман,Дневники и письма,1932
летал,на самолете,PREP,летать,no,past,impf,sing,"Работая на зверобойке в 1927 году, М. С. Бабушкин летал на самолете « Латышский стрелок» пассажирского типа, с мотором в сто восемьдесят пять сил. ",24,Л. Б. Хват,Записки летчика,1941
перебросили,на самолетах,PREP,перебросить,yes,past,perf,plur,В 1931 году англичане перебросили на самолетах роту солдат из Египта на остров Крит в Средиземном море. ,17,А. В. Шиуков,Война в воздухе,1940
Вылетаем,на самолете,PREP,вылетать,yes,pres,impf,sing,как раз в вашем городе. Вылетаем на самолете втроем ― с Надеждой Петровной и Колей. ,15,Р. И. Фраерман,"Дикая собака Динго, или Повесть о первой любви",1935
летела,на самолете,PREP,лететь,no,past,impf,sing,"Он слушал о знаменитой летчице, какой-то орденоноске Пусе Подымалкиной, которая летела на самолете из Москвы во Владивосток, и, не долетев, где-то села в лужу, в болоте, и как ее искали и провозгласили героиней советского союза, и сама Пуся, свежим, чистым, взволнованным, бодрым девическим голосом разсказывала в радио, как она, сидя в луже, ни минуты не сомневалась, что товарищи ее спасут… ",60,П. Н. Краснов,ЛОЖЬ,1938
прикатил,на самолете,PREP,прикатить,yes,past,perf,sing,"Он прикатил на самолете, ― ехал четыре часа. ",8,Вс. В. Иванов,Дневники,1930
летит,на самолете,PREP,лететь,no,pres,impf,sing,"Она летит на самолете, везя почту из Мильской степи. ",9,Б. В. Оленин,О чем поют ашуги?,1938
прилетели,на самолете,PREP,прилететь,yes,past,perf,sing,Они прилетели на самолете и в тот же день начали изучать состояние строительства. ,13,В. К. Кетлинская,Мужество,1934
летят,на самолетах,PREP,лететь,no,pres,impf,plur,"Тут казаки, колхозники, рабочие, командиры, студенты, туристы, иностранцы, старухи, дети, журналисты, писатели, музыканты, поэты, композиторы ― все едут на машинах, на лошадях, верхом, на лодках, на пароходе, летят на самолетах. ",30,А. С. Серафимович,Михаил Шолохов,1937
