Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
ехали,поездом,INS,ехать,no,past,impf,sing,Как ехали поездом — не помню. ,6,Д. С. Лихачев,Воспоминания,1995
отправлялись,поездом,INS,отправляться,yes,past,impf,sing,"Иной раз мы отправлялись поездом до городка Саннвика и там нанимали шлюпку, которая завозила нас на необитаемый остров, и там бродили целый день по пахучему хвойному лесу, полному малины, никем не собираемых грибов, ― здесь жили ежи и можно было лазать по серым полосатым скалам; или по изрезанному, каменистому, окруженному мелкими шхерами берегу. ",53,И. М. Дьяконов,Книга воспоминаний. Глава вторая (1922-1926),1995
съездили,поездом,INS,съездить,yes,past,perf,sing,Потом мы съездили поездом к месту впадения Арагвы в Куру. ,10,И. М. Дьяконов,Книга воспоминаний. Глава одиннадцатая (1937-1939),1995
ехали,поездом,INS,ехать,no,past,impf,sing,"Они, без охраны, ехали поездом. ",5,И. М. Дьяконов,Книга воспоминаний. Часть вторая. Глава четвертая (1942-1944),1995
приезжала,поездом,INS,приезжать,yes,past,impf,sing,"Мама тоже приезжала поездом, но после всех нас, приведя в порядок квартиру.   ",12,Р. М. Фрумкина,О нас – наискосок,1995
ехали,поездом,INS,ехать,no,past,impf,sing,Через несколько дней мы уже ехали поездом в Москву.   ,9,Р. М. Фрумкина,О нас – наискосок,1995
поедете,поездом,INS,поехать,yes,futr,perf,sing,"В Москву поедете поездом, как все, ― спокойно и по-деловому отозвался ответственный товарищ, ― специальный будет поезд на Олимпиаду.   ",19,Сергей Солоух,Клуб одиноких сердец унтера Пришибеева,1991
ездит,поездом,INS,ездить,no,pres,impf,sing,"Этот намек на собственную значительность, на принадлежность к тем, кто ездит поездом « Красная стрела», был очень дешевого вкуса, достаточно было одной « Москвы», но в молодом восторге победителя я не мог от него удержаться. ",35,Анатолий Найман,Славный конец бесславных поколений,1994
ехал,поездом,INS,ехать,no,past,impf,sing,Из Хабаровска шесть дней до Москвы ехал поездом. ,8,Светлана Алексиевич,Цинковые мальчики,1984
приехал,поездом,INS,приехать,yes,past,perf,sing,"Я приехал поездом из Новой Англии в поисках работы, а приятель пересек Гудзон на машине и каждые полчаса бегал на угол бросать квотер в прожорливый автомат автостоянки.   ",27,Борис Левин,Инородное тело,1965
ехал,поездом,INS,ехать,no,past,impf,sing,Директор ехал поездом впервые в жизни.   ,6,Сергей Залыгин,Экологический роман,1993
ехала,поездом,INS,ехать,no,past,impf,sing,"Расписания и для нормальных- то поездов не было, Марлена же ехала поездом ненормальным, с беженцами.   ",15,Сергей Залыгин,Экологический роман,1993
вернулся,поездом,INS,вернуться,no,past,perf,sing,"Первый раз съездил Казбек с электроприборами и радиотехникой, вернулся ― купил машину « Жигули- восьмерку» и с телевизором и стиральной машиной « Вятка» уехал обратно на машине, у товарищей по неволе все продал и обменял злотые на доллары, вернулся поездом и уже на следующей купленной машине повез ртуть, медицинские градусники и разную мелочевку, имеющую на конвертируемом Западе другую, повышенную цену. ",60,Сергей Есин,Стоящая в дверях,1992
перевозили,поездом,INS,перевозить,yes,past,perf,sing,В мае 1946 года группу японских военнопленных перевозили поездом из Маньчжурии в Пхеньян. ,13,коллективный,Почта «Огонек»,1991
выехали,поездом,INS,выехать,yes,past,perf,sing,"Несколькими часами раньше Ефрем и я выехали поездом в Вильнюс, где на следующий день в здании Верховного суда Литовской республики начинался суд над Сергеем Адамовичем Ковалевым. ",26,А. Д. Сахаров,Воспоминания,1983
проехали,поездом,INS,проехать,yes,past,perf,sing,"За полтора месяца мы проехали поездом 1500 верст, 3500 верст пароходом и 500 верст прошагали пешком. ",16,С. М. Голицын,Записки уцелевшего,1980
ехали,поездом,INS,ехать,no,past,impf,sing,В Москву они ехали поездом. ,5,В. Ф. Кормер,Наследство,1987
ездила,поездом,INS,ездить,no,past,impf,sing,"В Италию, так же как через полгода в Англию, она ездила поездом. ",12,Анатолий Найман,Рассказы о Анне Ахматовой,1986
ездил,поездом,INS,ездить,no,past,impf,sing,На гастроли в Японию он ездил поездом до Владивостока ( самолетов не любил). ,13,Гавриил Гликман,Маэстро Мравинский,1985
ехал,поездом,INS,ехать,no,past,impf,sing,"Я приехал в деревню через месяц после своей первой персональной выставки и разминулся с телеграммой, потому что ехал поездом. ",19,Сергей Есин,Имитатор,1985
ехали,поездом,INS,ехать,no,past,impf,sing,"Когда они ехали поездом по Англии, Борис Юльевич вышел на остановке что-то купить, поезд тронулся, набавил ход, Борис Юльевич не возвращался, и очень испугавшаяся Катерина Ивановна кинулась к проходящему проводнику с вопросом: « Who is my husband?»  ",37,Н. И. Ильина,Дороги и судьбы,1957
приехал,поездом,INS,приехать,yes,past,perf,sing,"Чудо было в том, что он все же приехал домой, приехал поездом; с бывшей Черноморской станции прокатил его скоро троллейбус, и на углу улиц Мира и Красной ему какой-то юноша подтащил тяжелые фибровые чемоданы. ",34,В. Лихоносов,Ненаписанные воспоминания. Наш маленький Париж. Ч. 1-2,1983
уеду,поездом,INS,уехать,yes,futr,perf,sing,"Если он иногородний, то я выйду из положения, фамилию чужую заменю, и тогда обязательно уеду поездом домой и узнаю судьбу семьи. ",21,В. Лихоносов,Ненаписанные воспоминания. Наш маленький Париж. Ч. 3-4,1983
уеду,поездом,INS,уехать,yes,futr,perf,sing,"Господин фельдшер, если не будет ни одной подводы, дайте мне одному документ, я пеши пойду до станции Копанской, а там уеду поездом».   ",22,В. Лихоносов,Ненаписанные воспоминания. Наш маленький Париж. Ч. 3-4,1983
Едем,поездом,INS,ехать,no,pres,impf,sing,от Струве: приехали и ждут. Едем поездом к ним. ,9,А. Д. Шмеман,Дневники,1973
ехал,поездом,INS,ехать,no,past,impf,sing,"Я зашел, и уже через три дня ехал поездом Москва ― Прага. ",12,И. С. Шкловский,Новеллы и популярные статьи,1982
поехали,поездом,INS,поехать,yes,past,perf,sing,"На следующее утро мы поехали поездом в Ангра- дос- Рейс, где нас уже ожидал родной « Грибоедов», чтобы плыть дальше, на юг, в Аргентину, за попутным грузом. ",27,И. С. Шкловский,Новеллы и популярные статьи,1982
едете,поездом,INS,ехать,no,pres,impf,sing,"Оттуда в Александровск вы едете поездом, по земле.   ",8,Леонид Утесов,"«Спасибо, сердце!»",1982
поехали,поездом,INS,поехать,yes,past,perf,sing,"Из Сказкино молодые поехали поездом в научный городок Алика, расположившись в одном купе с двумя друзьями последнего. ",17,Б. Б. Вахтин,Надежда Платоновна Горюнова,1980
